frameName,numFrameElements,coreTypes,elementNames,descriptions,frameType,classificationExplanation
Importing,9,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Importer', 'Goods', 'Importing_area', 'Exporting_area', 'Vehicle', 'Manner', 'Means', 'Time', 'Path']","['The conscious entity, generally a person, that brings the #Goods into the #Importing_area.', 'The items of value whose location is changing.', 'It is the place that the #Goods end up as a result of motion.', 'The place where the #Goods are initially, before the being moved.', 'A mobile entity directed by the #Importer that holds the #Goods and moves them along from the #Exporting_area to the #Importing_area.', 'Any description of the event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). It may also indicate salient characteristics of an #Importer that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully).', 'An intentional action performed by the #Importer that accomplishes the action indicated by the target.', 'It identifies the time when the #Importer moves the #Goods.', 'It identifies the location of the #Goods during transit, i.e. after leaving the #Exporting_area and before reaching the #Importing_area.']","['Event', 'Image Schema', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Involves topological/kinesthetic primitives: Path, Container, Force.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Imposing_obligation,9,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Responsible_party', 'Duty', 'Obligator', 'Situation', 'Principle', 'Time', 'Place', 'Manner', 'Means']","['The person who must perform the #Duty.', 'The action that the #Responsible_party is obligated to perform.', 'The #Obligator is the person who imposes the #Duty on the #Responsible_party.', 'A state of affairs that results in the #Responsible_party being obligated to carry out the #Duty in accordance with the #Principle.', 'A regulating idea  (which may be instantiated as a document)  that the #Responsible_party is subject to.', 'The time interval during which  the #Duty is imposed on the #Responsible_party  by the #Obligator or the #Situation.', 'A location in which the #Responsible_party has a specified #Duty.', 'Any holistic description of the details of the action, either comparing to another event or describing the action in terms of characteristics of the #Obligator that affect the action holistically.', 'An event which brings about the obligation.']","['Event', 'State', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Impression,6,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Figure', 'Audience', 'Impression', 'Descriptor', 'Degree', 'Context']","['The entity (a person, organization, product, or event) for which the #Audience has an #Impression.', 'A person or group of people who have an #Impression of a #Figure.', 'A generalized conception of a #Figure presented to or shared by an #Audience.', 'The effect of the #Impression left on the #Audience.', 'The effectiveness of the #Impression on the #Audience.', 'A spatial, cultural, or personal delimitation within which a #Figure leaves an #Impression on an #Audience.']",['Attribute'],"FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder."
Imprisonment,10,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Prisoner', 'Prison', 'Authorities', 'Offense', 'Place', 'Time', 'Purpose', 'Means', 'Manner', 'Duration']","['The person who is confined in a penal institution.', 'The #Prison within which the #Prisoner comes to be confined.', 'The #Authorities are the institution or actors carrying out the imprisonment.', 'The action that the #Prisoner is being punished for.', 'It identifies the #Place where the #Prisoner is kept.', 'The time when the imprisonment happens.', 'The purpose of the imprisonment.', 'An intentional action performed by the #Authorities that brings about the imprisonment.', 'Any description of the imprisoning event which is not covered by more specific FEs, including epistemic modification (probably, presumably, mysteriously) and general descriptions comparing events (the same way). It may also indicate salient characteristics of the #Authorities that affect the action (ruthlessly).', 'It identifies the #Duration of time for which the #Authorities maintains the confinement of the #Prisoner.']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Improvement_or_decline,10,"['cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Entity', 'Prior_state', 'Post_state', 'Time', 'Rate', 'Manner', 'Duration', 'Degree', 'Domain', 'Place']","['The object that undergoes change.', 'The former state of the #Entity.', 'The state of the #Entity following the improvement.', 'The time at which the improvement occurs.', 'The rate at which the change happens.', 'A description of the improvement, generally a description comparing events (the same way).', 'The period over which the improvement occurs.', 'The amount of improvement that the #Entity has attained.', 'The relevant dimension of improvement.', 'The location where the improvement occurs.']","['Event', 'Attribute', 'Relation', 'State', 'Entity']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; Focuses on discrete items (Entity, Object); lacks dynamic roles."
Improvised_explosive_device,12,"['cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Bomb', 'Use', 'Type', 'Material', 'Wielder', 'Part', 'Name', 'Time_of_creation', 'Creator', 'Descriptor', 'Target', 'Location']","['The #Bomb explodes, injuring or damaging a #Target.', 'The type of activity that the #Bomb is generally involved in.  Often this can be considered a kind of #Type specification also.', 'It indicates what subtype of the general category the #Bomb belongs to.', 'The substance that makes up the #Bomb.', 'The person that wishes to attack the #Target and who controls (directly or indirectly) the detonation of the #Bomb.', 'It identifies a part of the #Bomb. This includes parts that aid in the detonation or damaging, or mere attachments.', 'The term used to refer to an #Bomb.', 'The time at which a #Bomb comes into existence.', 'The individual or group responsible for the creation of the #Bomb.', 'A description or characteristic of the #Bomb.', 'The intended or actual target of the #Bomb.', 'The location of the #Bomb.']",['Relation'],"FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Inclination,3,"['cty_core', 'cty_core-unexpressed', 'cty_peripheral']","['Entity', 'Behavior', 'Degree']","['It identifies the person or thing that has a tendency towards some #Behaviour.', 'It marks expressions that indicate which state or action the #Entity tends towards.', 'It marks expressions that indicate how great the inclination of an #Entity towards a #Behavior is.']","['Attribute', 'State', 'Entity']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; Focuses on discrete items (Entity, Object); lacks dynamic roles."
Inclusion,5,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Total', 'Part', 'Manner', 'Time', 'Place']","['A complex entity, either an aggregate or a unit, of which a #Part,  a constituent or a component, is specified.', 'A component or constituent that is specified to form part of the #Total.', 'Any description of the inclusion event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way).', 'The #Time at which the #Total includes the #Part.', 'The location at which the #Total includes the #Part.']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Inclusion_scenario,5,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Whole', 'Part', 'Manner', 'Time', 'Place']","['The #Whole is the larger entity that includes the #Part.', 'The #Part is either a subset or a constituent part of the #Whole.', 'Any description of the inclusion event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way).', 'The #Time at which the inclusion relation holds.', 'The location at which the inclusion relation holds.']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Increment,4,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral']","['Class', 'Added_set', 'Initial_set', 'Increment']","['The general category of entity which has been referred to.', 'The instance of the #Class that is added to the #Initial_set of entities in the #Class.', 'The previously mentioned group of entities of the #Class.', 'The number of entities within the #Added_set.']",['Undetermined'],Insufficient clues from FEs or descriptions.
Indicating,8,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Communicator', 'Unresolved_referent', 'Medium', 'Manner', 'Means', 'Time', 'Place', 'Purpose']","['The person who uses language in the written or spoken modality to convey the #Unresolved_referent to another person.', 'The thing to which the #Communicator or #Medium refers for identification purposes.', 'The physical or abstract setting in which the #Unresolved_referent is conveyed.', 'The #Manner in which the #Communicator makes the indication.', 'The #Means by which the #Communicator makes the indication.', 'When the the #Communicator is makes the indication.\n\n<ex><fex name=""Time"">When this is resolved</fex>, I will <t>name</t> the winner.</ex>', 'The location where the #Communicator or #Medium indicates the #Unresolved_referent.', 'To what end the #Communicator or #Medium makes the indication.']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Indigenous_origin,2,"['cty_core', 'cty_core']","['Entity', 'Origin']","['The item whose #Origin is under discussion.', 'The discourse-salient place or culture where the #Entity was produced.']",['Entity'],"Focuses on discrete items (Entity, Object); lacks dynamic roles."
Indirect_fouls,5,"['cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Infractor', 'Opponent', 'Place', 'Time', 'Type']","['The athlete who violates a sport rule.', 'The team that benefits from the indirect foul.', 'Area of the venue in which the foul takes place.', 'When the foul takes place.', 'The kind of foul.']",['Relation'],"FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Individual_history,8,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Participant', 'Events', 'Domain', 'End_time', 'Start_time', 'Time_span', 'Duration', 'Time']","['The #Participant is either an active participant in all of the #Events (e.g., Agent or Patient), or is more peripherally associated with the #Events (e.g., Location or Topic).\n\n<ex>We ve been worried about <fex name=""par"">our recent hire s</fex> <t>history</t> of deceiving employers.</ex>\n\n<ex>I was charmed, and also determined to learn more about <fex name=""par"">the factory s</fex> <t>history</t>.</ex>', 'The #Events which the #Participant is a part of. This FE is used to mark the frame-evoking element.\n\n<ex>We will focus on events in her recent <t><fex name=""eve"">history</fex></t>.</ex>', 'The #Domain is (a characterization of) the type of event that is to be included in consideration of the #Participant s history.\n\n<ex>One of my colleagues is an expert on the <fex name=""dom"">economic</fex> <t>history</t> of the Hellenistic period</ex>\n\n<ex>The Netherlands  long <t>history</t> <fex name=""dom"">of trade with China</fex> provides important information for modern political economies.</ex>', 'The end of the span of time during which the #Events occur.\n\n<ex>This article discusses mainly the geography and the <t>history</t> of Palestine <fex name=""end"">until the United Nations took up the Palestine problem in 1947</fex>.</ex>', 'The beginning of the time span over which the #Events occur.\n\n<ex>The introduction describes the history of geography <fex name=""sta"">from the eighteenth century onwards</fex>.</ex>', 'The span of time over which the #Events take place.\n\n<ex>We have traced the flag?s <t>past</t> <fex name=""tim"">between its original conception in the 14th century and its end a hundred years later</fex>.</ex>', 'The #Duration, often expressed in calendric units, of the history of the #Participant.\n\n<ex>The following sections document the entire <fex name=""dur"">25-year</fex> <t>history</t> of the company.</ex>', 'When the #Events concerning the #Participant occured.']",['Relation'],"FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Individual_moves,9,"['cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Athlete', 'Technique', 'Place', 'Time', 'Purpose', 'Depictive', 'Manner', 'Equipment', 'Goal']","['Someone who plays a sport.', 'Some specific mode of performing the move.', 'The part of the field, court, pool or track where the #Athlete makes the move.', 'When the #Athlete makes the move.', ""The #Athlete's goal when performing the move."", 'Some characteristic of the #Athlete or the move.', 'Some aspect of the manner through which the #Athlete performed the move that is not included in the #Technique.', 'Some object used in the sport with which the #Athlete interacts.', 'The intended destination of the equipment the #Athlete puts in motion with the move.']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Ineffability,5,"['cty_core', 'cty_core-unexpressed', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Stimulus', 'Attribute', 'Experiencer', 'Degree', 'Parameter']","['The entity which inspires a feeling of amazement at its exceptionality.', 'An expression of the attribute of ineffability.\n\n<ex>She had a <t>magical</t> <fex name=""Attribute"">quality</fex> .</ex>', 'The #Experiencer experiences the emotion brought about by the #Stimulus', 'An expression of how unusual the ineffability of the #Stimulus is.', 'The #Parameter is the area in which the #Stimulus brings about an effect on the #Experiencer.']",['Attribute'],"FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder."
Infecting,10,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Infection', 'Infected_entity', 'Infection_cause', 'Medium', 'Manner', 'Place', 'Time', 'Depictive', 'Means', 'Result']","['An invasion, typically undetected, of an entity s system. The infection most often compromises the entity s stability. Infections are a common pathology for diseases.', 'This FE labels the recipient of the #Infection.', 'This FE labels the cause of the #Infection which affects the #Infected_entity.', 'The medium through which the infection is transmitted.', 'Any description of the Infecting event which is not covered by more specific FEs, including epistemic modification, force, secondary effects, and general descriptions comparing events.', 'The place at which the Infecting event occurs; or, the location of the Infection_cause.', 'When the infection occurs.', 'Depictive phrase describing a participant in the event.', 'An act by an #Infection_cause that enables them to act upon the #Infected_entity.', 'The #Result of an #Infection.']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Influencing_potential,5,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral']","['Force', 'Entity', 'State_of_affairs', 'Domain', 'Source']","['Something which has the capability of affecting a #Entity in some way.', 'Something which is dependent on the influencing #Force.', 'A situation which can be influenced or brought about by the #Force.', 'A description of the areas in which the #Force can affect the #Entity.', 'A principle factor which gives the #Force the capability to affect the #Entity.']","['Relation', 'Entity']","FEs show spatial/logical relations: Location, Path, Cause; connects entities or events.; Focuses on discrete items (Entity, Object); lacks dynamic roles."
Information,5,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral']","['Information', 'Cognizer', 'Topic', 'Source', 'Means_of_gathering']","['The #Information that the #Cognizer possesses or comes to possess.', 'The #Cognizer is aware of the #Information.', 'The #Topic is what the Information is about in general.', 'The #Cognizer obtains the Information from the #Source.', 'An action or method used by the #Cognizer that results in the acquisition of the #Information.']",['Relation'],"FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Information_display,2,"['cty_core', 'cty_peripheral']","['Display', 'Use']","['It identifies the entity or substance that is designed to have a particular #Use.', 'The use for which a display is intended.']",['Undetermined'],Insufficient clues from FEs or descriptions.
Infractions,6,"['cty_core', 'cty_core', 'cty_core-unexpressed', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Infractor', 'Opponent', 'Infraction', 'Time', 'Place', 'Type']","['The player who commits the infraction.', 'The player or team that benfits from the infraction.', 'Violation of the game rules.', 'When the infraction takes place.', 'Area of the field where the infraction takes place.', 'The kind of infraction.']",['Relation'],"FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Infrastructure,6,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_peripheral']","['Activity', 'Possessor', 'Resource', 'User', 'Infrastructure', 'Place']","['The #Activity which is enabled or facilitated by the infrastructure.', 'The organization, institution, or individual who owns the infrastructure.', 'The infrastructure may be conceived of as consisting of #Resources that can be made use of by #Users in performing an #Activity.', 'The people for whom the infrastructure is designed to be used by.  In the cases where the constituent denoting the user also evokes the #Activity, we annotate this on the second FE layer.', 'The collection of entities and/or institutions that help to promote an #Activity of a public character.', 'The location of the infrastructure.']",['Relation'],"FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Ingest_substance,10,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Delivery_device', 'Ingestor', 'Substance', 'Manner', 'Means', 'Place', 'Purpose', 'Time', 'Entry_path', 'Duration']","['The #Delivery_device is the means by which the substance is ingested. <ex> <fex name=""Ingestor"">Tabitha</fex> <t>smoked</t> <fex name=""Delivery_device"">a pipe</fex>.</ex> <ex> <fex name=""Ingestor"">Simon </fex><t>smoked</t> <fex name=""Substance""> pot</fex> <fex name=""Delivery_device"">with a bong</fex>.</ex>', 'The #Ingestor ingests the #Substance', 'The #Substance is the drug or other substance that is ingested by the #Ingestor.', 'The #Manner in which the #Ingestor ingests the #Substance.', 'The #Means by which the #Ingestor ingests the #Substance.', 'The #Place where the #Ingestor ingests the #Substance.', 'The #Purpose for which the #Ingestor ingests the #Substance.', 'The #Time at which the #Ingestor ingests the #Substance.', 'The #Entry_path is the path along which the #Substance enters the #Ingestor s body. <ex> <fex name=""Ingestor"">Rick</fex> <t>snorted</t> <fex name=""Substance"">cocaine</fex> <fex name=""Entry_path"">up his nose</fex>.</ex>', 'The #Duration is the length of time for which the #Ingestor ingests.']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Ingestion,11,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Ingestor', 'Ingestibles', 'Place', 'Time', 'Instrument', 'Manner', 'Source', 'Means', 'Degree', 'Purpose', 'Duration']","['The #Ingestor is the person eating or drinking.', 'The #Ingestibles are the entities that are being consumed by the #Ingestor.', 'Where the event takes place.', 'When the event occurs.', 'The #Instrument with which an intentional act is performed.', 'The #Manner of performing an action.', 'The place from which the #Ingestor takes the #Ingestibles.', 'An act performed by the #Ingestor that enables them to accomplishes the whole act of ingestion.', 'The extent to which the #Ingestibles are consumed by the #Ingestor.', 'The action that the #Ingestor hopes to bring about by ingesting.', 'The length of time spent on the ingestion activity.']","['Attribute', 'Event', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Ingredients,4,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral']","['Material', 'Use', 'Product', 'Type']","['The entity which is used to make a #Product.', 'The purpose for which the #Material is intended.', 'The entity or substance that is created out of the #Material.', 'It indicates what subtype of the general category the #Material belongs to.']",['Undetermined'],Insufficient clues from FEs or descriptions.
Inherent_purpose,4,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral']","['Apparatus', 'Goal', 'Domain', 'Type']","['An entity that was not created by a living thing that is conceptualized to exist to fulfill some #Goal.', 'The ultimate aim of the #Apparatus.', 'The sphere of activity in which the #Apparatus operates.', 'A description of the #Goal.']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Inhibit_motion_scenario,4,"['cty_core', 'cty_core', 'cty_core', 'cty_core']","['Agent', 'Theme', 'Holding_location', 'Cause']","['The #Agent prevents the #Theme from moving.', 'The #Theme has a tendency or desire to move, but is prevented from doing so.', 'The location where the #Agent keeps the #Theme.', 'A non-volitional cause that inhibits the motion of the #Theme.']",['Event'],"Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner."
Inhibit_movement,10,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Theme', 'Holding_location', 'Agent', 'Cause', 'Place', 'Time', 'Purpose', 'Means', 'Manner', 'Duration']","['The entity which is confined.', 'The area within which the #Theme comes to be confined.\n\n<ex>He <t>confined</t> 340 mutineers <fex name=""Holding_location"">in Burford Church</fex> for the next three days under general sentence of death.</ex>', 'The #Agent is the person performing the intentional act.', 'The #Cause is the non-sentient entity which is responsible for restricting the movement or location of the #Theme.', 'This FE identifies the #Place where the event occurs.', 'When the event occurs.', 'The purpose the confinement.', 'An intentional action performed by the #Agent that accomplishes the action indicated by the target. ', 'Any description of the event (or state) which is not covered by more specific FEs, including epistemic modification, force, secondary effects, and general descriptions comparing events. It may also indicate salient characteristics of the #Agent that affect the action.', 'This FE identifies the #Duration of time for which the #Agent maintains the confinement of the #Theme.']","['Image Schema', 'Event', 'State', 'Relation']","Involves topological/kinesthetic primitives: Path, Container, Force.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Inspecting,10,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Inspector', 'Ground', 'Unwanted_entity', 'Purpose', 'Desired_state_of_affairs', 'Means', 'Manner', 'Degree', 'Time', 'Instrument']","['The person who inspects the #Ground to see if it is intact or without blemish.', 'The entity that the #Inspector inspects with his senses to ascertain whether it is intact.', 'An entity whose presence would impair the acceptability or usefulness of the #Ground.\n\n<ex>Security guards <t>frisked</t> all the spectators <fex name=""unw"">for weapons</fex> as they entered the stadium.</ex>', 'Some of the words in this frame occur with a constituent that expresses the desired outcome of the inspection.  Normally this constituent is a PP Complement headed by <ment>for</ment>, or a <ment>to</ment>-marked VP Complement.\n\n<ex><t>Check</t> all gutter brackets and clips <fex name=""pur"">to ensure no water will drip on to the walls</fex>.</ex>', 'The desirable state of affairs which the #Inspector hopes to find to obtain when inspecting the #Ground.', 'This FE is used for the #Means by which the #Inspector examines  the #Ground.\n\n<ex>As in the second step the baby went to the toy and <t>examined</t> it <fex name=""Means"">by placing it in his mouth</fex>.</ex>', 'This FE identifies the #Manner in which the #Inspector scrutinizes the #Ground.\n\n<ex>Leather is <fex name=""man"">carefully</fex> <t>inspected</t> for softness, elasticity and texture</ex>', 'This FE identifies the extent  to which the #Inspector examines the #Ground.\n\n<ex> This section was <fex name=""deg"">partially</fex> <t>inspected</t> by the commissioner of Metro rail safety on Thursday</ex>', 'The #Time when the #Inspector examines the #Ground.\n\n<ex><fex name=""tim"">Yesterday</fex> we <t>inspected</t> all the taps and water pipes at animal enclosures being utilized</ex>', 'An entity used by the #Inspector to scrutinize the #Ground.']","['Attribute', 'Event', 'State', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Installing,8,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Agent', 'Component', 'Fixed_location', 'Manner', 'Means', 'Place', 'Time', 'Area']","['The #Agent is the person (or other force) that installs the #Component.\n\n\n<ex><fex name=""Agt"">John</fex> <t>installed</t> it last night on my Gentoo system and everything is going fine so far.</ex>', 'The #Component is the object that is placed in a #Fixed_location.\n\n\n<ex>My plumber <t>installed</t> <fex name=""com"">the shower pan</fex>.</ex>', 'The #Fixed_location is the location where the #Component is placed and to which it is attached so as to be useful.\n\n\n<ex>I assembled the fuel tank using a vent line and a supply line, and then I <t>installed</t>\nthe tank <fex name=""fix"">in the fuselage</fex>.</ex>', 'Any description of the installation event which is not covered by more specific FEs, including secondary effects (quietly, loudly) and general descriptions comparing events (the same way). It may also indicate salient characteristics of the Agent that affect the action (<ment>deliberately</ment>, <ment>eagerly</ment>, <ment>carefully</ment>).', 'The #Means is an act whereby the #Agent achieves the installation of the #Component.\n\n\n<ex>We <t>installed</t> the spindle assembly <fex name=""Means"">by starting with the lower-ball joint, followed by the upper</fex>.</ex>', 'The #Place indicates where the installation occurs.\n\n<ex>When I <t>installed</t> the server <fex name=""Place"">there</fex> last winter they only had two rows of racks, mostly empty.</ex>', 'The time period in which the #Component is installed.\n\n\n<ex>When we <t>installed</t> our hood <fex name=""Time"">last month</fex>, the folks at Dallas Auto Body painted our roll pan at the same time.</ex>', 'The #Area is the setting into which multiple #Components or a  complex #Component is installed.    <ex>I <t>installed</t>  tongue and groove pine flooring <fex name=""Area"">through my entire house</fex>.</ex>']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Instance,3,"['cty_core', 'cty_core', 'cty_peripheral']","['Instance', 'Type', 'Instance_prop']","['A thing or episode of a certain #Type.', 'The category of thing or event of which an #Instance is picked out.', 'A property of the #Instance.']",['Undetermined'],Insufficient clues from FEs or descriptions.
Institutionalization,9,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Patient', 'Facility', 'Authority', 'Affliction', 'Time', 'Means', 'Manner', 'Duration_of_final_state', 'Place']","['The person who is committed to a facility with a view towards helping them mentally or physically.\n\n\n\n<ex>Buffy s got this hospital phobia because her caring parents <t>institutionalized</t>\n<fex name=""pat"">her</fex> for a while before she moved to Sunnydale.</ex>', 'The facility where the #Patient is taken for treatment.\n\n\n<ex>Unfortunately for Mrs. Lincoln, her son, Robert, <t>institutionalized</t> her <fex name=""fac"">in the\nBatavia Asylum</fex> shortly after the visit to St. Charles.</ex>', 'The #Authority is the actor carrying out the institutionalization with proper legal authorization, either invested into them in general by the government or granted due to power of attorney over the #Patient.\n\n<ex>Goodrum then went to see <fex name=""aut"">a private doctor</fex> <fex name=""aut"">who</fex> <t>hospitalized</t> him.</ex>', 'The condition exhibited by the #Patient, which is deemed to merit institutionalization by the #Authority.\n\n\n<ex>Her parents <t>institutionalized</t> her <fex name=""aff"">for what was essentially typical bad adolescent behavior</fex>.</ex>', 'The time interval during which the institutionalization happens.\n\n<ex><fex name=""Time"">Later</fex> her mother became depressed and was <t>institutionalized</t>.</ex>', 'An intentional action performed by the #Authority that brings about the institutionalization of the #Patient.\n\n<ex>Without informing Volkobraun or her attorney of the court s decision, police\n<fex name=""Mns"">forcibly</fex> <t>committed</t> her to a psychiatric hospital.</ex>', 'Any description of the institutionalization event which is not covered by more specific FEs, including general descriptions comparing events (the same way). It may also indicate salient characteristics of the #Authority that affect the action (<ment>ruthlessly</ment>). \n\n\n<ex>St Remy, of course, is most noted for being the place where Van Gogh <t>committed</t>\nhimself <fex name=""man"">voluntarily</fex> to an asylum.</ex>', 'This FE identifies the length of the time period for which the #Authority has placed  the #Patient in the #Facility.\n\n<ex>This time, physicians <t>hospitalized</t> him <fex name=""dur"">for more than a month</fex>.</ex>', 'The location in which the #Facility is situated.\n\n<ex>The widow of Dr. Martin Luther King Jr. suffered a stroke on Wednesday, and was\n<t>hospitalized</t> <fex name=""pla"">in Atlanta</fex>.</ex>']","['Event', 'State', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
